run1,run2,family,skew_trec,skew_cop,collection
1,2,SBB8,-0.943951143315729,-0.00219154508092494,web2010
1,3,F,-0.277090339549896,0.00359975568344104,web2010
1,4,F,-0.374628731453093,0.0275490293886415,web2010
1,5,BB7,-0.554492766770482,-0.00318681776891726,web2010
1,6,F,0.642519619068539,-0.0065103087913315,web2010
1,7,C,0.677996792910657,0.00608950124650709,web2010
1,8,I,0.961658469254748,0.0100109638208593,web2010
1,9,I,0.133741846279037,-0.00552650962128403,web2010
1,10,BB7,-1.22586835317804,-0.0218762801256799,web2010
1,11,Tawn2_180,1.1375066642363,0.787171015790147,web2010
1,12,Tawn180,-1.27696414788718,-0.472737705761092,web2010
1,13,Tawn2_180,-0.287460639990103,0.606768211539396,web2010
1,14,SJ,-1.03777269271938,0.00917441285807044,web2010
1,15,SBB8,0.884666431967708,0.0112933239766206,web2010
1,16,F,0.277326574274211,0.00186208650987523,web2010
1,17,Tawn2_180,0.664298149290621,0.617922856481125,web2010
1,18,SBB8,1.83566597787327,-0.0204351768905344,web2010
1,19,Tawn,2.80389968378245,2.07545632010153,web2010
1,20,Tawn,2.78288326631774,2.22365531778944,web2010
1,21,Tawn,2.09221745079797,1.07444716980812,web2010
1,22,t,2.24630491866252,0.00667117772383558,web2010
1,24,N,-0.864166103035699,-0.0038388969885423,web2010
1,25,Tawn2,-0.889309994765096,-0.870814037500574,web2010
1,26,F,-0.816136701932238,-0.00542799877052761,web2010
1,27,SBB8,0.896413227300393,-0.0157702853017945,web2010
1,29,C,-0.283677119441625,-0.0280873765967652,web2010
1,30,N,-0.286341859235634,0.00795861803422488,web2010
1,31,Tawn180,-0.378097951757513,-0.464092409942446,web2010
1,32,G,-0.243615672699813,-0.00763013290269312,web2010
1,33,F,-0.16150645615771,-0.0059763894594792,web2010
1,35,SG,-1.12396609098157,-0.0246580997064568,web2010
1,36,Tawn2_180,1.86857315930935,0.725018674263756,web2010
1,37,N,-1.84819417980698,0.00774253541004345,web2010
1,38,F,1.77747430604255,0.0283703586915968,web2010
1,39,Tawn2_180,1.70555097201715,0.723834136022853,web2010
1,40,J,-0.780211248068346,0.0220124950999842,web2010
1,41,G,-0.98622882078039,-0.0440684193169489,web2010
1,42,SC,-1.16698312060026,-0.0129980998406125,web2010
1,43,SC,-0.988441243586337,0.0141071634425312,web2010
1,44,F,-0.985272901142953,-0.0342473037575531,web2010
1,45,G,-0.617253594901504,-0.0131497165147551,web2010
1,46,Tawn2,-1.14520866960049,-1.01054439969606,web2010
1,48,G,-1.3738490215389,0.000861586845227931,web2010
1,49,N,0.927311993935343,0.00359063358399868,web2010
1,50,F,1.44141074729882,0.0191734857697607,web2010
1,51,C,1.24597338357748,-0.0240967143009542,web2010
1,52,F,1.24265546646156,0.0588363449866241,web2010
1,53,BB7,0.378831888262807,-0.0208205633106953,web2010
1,54,N,1.898702491398,0.00206163941834363,web2010
1,56,SBB1,1.88145561982684,-0.00502295549668367,web2010
1,57,t,-0.311290594863129,0.0311789064477691,web2010
1,60,I,0.0698619013128547,-0.000436885329266492,web2010
1,61,I,0.277459545194262,-0.0192401002818953,web2010
1,62,SJ,0.363346350646173,0.00388546923546607,web2010
1,66,G,0.0488224418035267,0.00898930207178759,web2010
1,68,BB1,-2.26665645447689,-0.0181172226917236,web2010
1,69,N,-0.12695088762379,0.0330884061532911,web2010
1,70,SG,-0.298701200517854,0.00740575267517944,web2010
1,71,I,0.198981202171868,-0.00899040853817447,web2010
1,72,F,-0.334512231592878,-0.00961938609799334,web2010
1,74,SC,-0.514734965721895,-0.0215730541031934,web2010
1,77,Tawn,1.27522761896998,1.47009615697025,web2010
1,79,SG,2.18144654660292,-0.00349245038530206,web2010
1,80,SG,2.09765367419254,-0.0225854433968058,web2010
1,81,Tawn2_180,1.77066684896321,0.779430869073622,web2010
1,82,N,-0.9262022485102,0.0116847071829823,web2010
1,85,J,-0.997212229977809,-0.00845827626335404,web2010
1,87,Tawn2,-0.463298022553081,-0.985761854962394,web2010
1,88,N,-0.526814804993051,0.00497399094515544,web2010
2,3,BB8,-0.303551183106879,0.0122567521678148,web2010
2,4,J,0.0556733068219002,0.00906264753727248,web2010
2,5,Tawn,0.865039142153521,0.865277519334304,web2010
2,6,SG,0.424137361350811,-0.0123333985490943,web2010
2,7,G,0.419381203129844,-0.007189331557573,web2010
2,8,I,0.995418496346718,-0.00514200302951145,web2010
2,9,Tawn2,0.241330027154457,-0.968756710297755,web2010
2,10,t,-0.574318364750827,0.0185449514080557,web2010
2,11,Tawn2_180,0.125117562589346,0.907257884636147,web2010
2,12,t,-0.604437947883553,-0.00951433304502204,web2010
2,13,Tawn,1.08990452341266,1.35773180778984,web2010
2,14,Tawn180,-1.36886120819862,-1.02975099908583,web2010
2,15,SG,0.198383527553719,-0.0379683744374746,web2010
2,16,Tawn,1.56563503773561,1.75063462134745,web2010
2,17,Tawn,1.71652172808327,1.61175216395448,web2010
2,18,SG,0.582293349987911,-0.011508070597386,web2010
2,19,F,0.985692162642058,0.0213106961371989,web2010
2,20,Tawn2_180,1.38885378509906,0.980187700756522,web2010
2,21,Tawn,1.25044409052341,1.05459681239796,web2010
2,22,Tawn,1.45668380631646,1.17371393390056,web2010
2,24,BB7,-1.14985993955651,-0.0127319624388918,web2010
2,25,Tawn2,-1.22522130266093,-1.15403796851045,web2010
2,26,G,-1.07607061085078,-0.00916031247462649,web2010
2,27,F,0.392121512837066,0.00262473575936055,web2010
2,29,G,0.489954056326548,-0.00565706062195014,web2010
2,30,SBB7,0.47319398958297,0.00128136360381091,web2010
2,31,N,0.162891447240611,0.0131346704208599,web2010
2,32,F,-0.215930865095568,0.0102259051603773,web2010
2,33,G,-0.0692773943754212,-0.00490527148496426,web2010
2,35,F,-0.145503186574681,-0.0197634596259737,web2010
2,36,Tawn2_180,1.00243399385339,0.668591621548482,web2010
2,37,N,-1.21910546710358,0.0065822321002591,web2010
2,38,F,1.76346449112124,0.0426041319170221,web2010
2,39,F,1.90362236374891,0.0275718734775311,web2010
2,40,t,0.518929066012157,0.00458865407043056,web2010
2,41,F,-0.0579301698636605,0.00021306741187425,web2010
2,42,F,-0.986083043944919,0.0111989481264529,web2010
2,43,N,-0.0458781525202821,0.0198645185913677,web2010
2,44,Tawn,0.711613189358788,1.68776789520608,web2010
2,45,Tawn180,-0.126234323651525,-0.604610629858095,web2010
2,46,t,-0.243273584676193,-0.0029805668642928,web2010
2,48,SG,-0.286729354114136,0.00252744528152847,web2010
2,49,G,1.17964090372228,0.0177417593652193,web2010
2,50,G,1.10394700104734,0.0415943596977309,web2010
2,51,C,1.16939787044665,0.0206665116418251,web2010
2,52,Tawn2_180,1.17597039758906,0.264443652022647,web2010
2,53,G,1.30110430230283,0.0141538522727602,web2010
2,54,Tawn2_180,1.12845274038692,0.639680566465606,web2010
2,56,Tawn2_180,1.21230853717961,0.820145529240604,web2010
2,57,F,-0.0129649899669639,-0.0466512262706689,web2010
2,60,SJ,0.0793960220019809,-0.00107108651954161,web2010
2,61,SJ,0.163239456871774,-0.0120733590395989,web2010
2,62,SJ,0.201949324153018,-0.000359188339285484,web2010
2,66,F,-0.500056958814778,0.0206888406873527,web2010
