run1,run2,family,skew_trec,skew_cop,collection
1,2,N,0.469483349161881,-0.0148588192738308,web2010
1,3,Tawn,1.88622125845736,1.47520781525569,web2010
1,4,J,0.782898863486961,0.0118010390174639,web2010
1,5,J,-0.274452140363872,0.0153954256238933,web2010
1,7,Tawn,-0.584986274595463,0.705924154123857,web2010
1,8,I,0.694789581726467,-0.0047436740030697,web2010
1,9,G,0.195886243061221,0.00235682777224288,web2010
1,10,t,-0.60923112595553,-0.0392546122838006,web2010
1,11,G,0.11105551544218,-0.0211624177582125,web2010
1,12,t,-0.871149388652862,-0.0303317656197248,web2010
1,13,Tawn,0.945886280552741,1.18281781850593,web2010
1,14,SBB7,-1.23131151185618,-0.00489466695506293,web2010
1,15,N,-0.848817355845174,0.00528202014298727,web2010
1,16,Tawn,0.828554025990785,1.29491409747325,web2010
1,17,Tawn,0.807656807173371,1.35000403924228,web2010
1,18,SG,-0.656839454082948,-0.0180988095822431,web2010
1,19,Tawn,1.94841270924905,1.8357989791229,web2010
1,20,Tawn,2.18577219183996,1.84856717037597,web2010
1,21,Tawn,0.814549420764092,0.983941740064596,web2010
1,22,Tawn,0.927218035034808,1.07321398655962,web2010
1,23,Tawn,1.13788455902906,1.29897945724763,web2010
1,24,J,0.386226027308063,-0.0116918885992744,web2010
1,25,J,0.22581470167784,-0.00705899434304432,web2010
1,26,J,0.464084271159965,0.0108226193043273,web2010
1,27,N,-0.197442774501247,0.00442958312009994,web2010
1,29,J,0.801150903438189,-0.010657215925407,web2010
1,30,BB7,0.747181888313342,-0.0354825157510092,web2010
1,31,Tawn,0.495017755746496,1.08795854713187,web2010
1,32,Tawn,0.815003859647738,0.795064733381638,web2010
1,33,Tawn,0.866042547811419,0.866494713052454,web2010
1,35,G,-0.494206216687041,-0.00710375292358502,web2010
1,36,J,0.286475176033136,-0.00990375505232832,web2010
1,37,G,-2.12462756898352,-0.015779200624461,web2010
1,38,N,0.551633821615134,0.0303116161435273,web2010
1,39,G,0.43491590620261,0.0084400406082461,web2010
1,40,J,-0.48578971754279,-0.0183767885350566,web2010
1,41,J,-0.850062448517725,0.0170203245294282,web2010
1,43,J,-0.967926646499428,-0.00491364414239949,web2010
1,44,t,0.429824140186238,-0.0434837600395112,web2010
1,45,BB7,-0.7233992362537,-0.0100073538589061,web2010
