run1,run2,family,skew_trec,skew_cop,collection
1,2,J,2.7067418225445,-0.0104203713044154,adhoc5
1,3,C,-0.0177627206361229,-0.000518386506927661,adhoc5
1,4,I,0.00916474691659789,-0.00479749927226585,adhoc5
1,5,C,0.237183764634552,0.0119107799838844,adhoc5
1,6,SG,-0.0887845165039177,0.00357985291942276,adhoc5
1,7,I,0.130118536012347,-0.00658217109892583,adhoc5
1,8,C,0.339450674652807,-0.0033750797200072,adhoc5
1,9,Tawn2,-0.301061613813832,-0.551433640006986,adhoc5
1,10,F,-0.442290060433942,-0.0154204046949319,adhoc5
1,11,Tawn2,-0.539734318053621,-0.460801521713047,adhoc5
1,12,Tawn2,-0.890259897970755,-0.609064917550849,adhoc5
1,13,SC,-0.158710359689444,-0.00391095956563456,adhoc5
1,14,N,-0.471445701227418,0.00606314590008499,adhoc5
1,15,SG,-0.307125915591751,-0.000301137408402604,adhoc5
1,16,Tawn2,-0.327862467123627,-0.587069585531183,adhoc5
1,17,C,-0.311773937232883,0.00215927321054947,adhoc5
1,18,Tawn180,-0.0531428932330496,-0.214031173831643,adhoc5
1,19,F,-0.173949159008622,0.00718662346877433,adhoc5
1,20,G,-0.244069355779871,-0.00865855114982876,adhoc5
1,21,F,-0.270367140163644,0.00584260617523055,adhoc5
1,22,Tawn2,-0.457180882323001,-0.600727988352532,adhoc5
1,24,C,-0.440334028855589,0.00407869060442216,adhoc5
1,25,F,-0.589752198321772,0.0116699054008632,adhoc5
1,26,Tawn180,-0.287891816361172,-0.337184776384286,adhoc5
1,27,N,-0.106471873946598,0.00171407649293251,adhoc5
1,28,Tawn2,-0.0798181145127189,-0.510464153427442,adhoc5
1,29,J,-0.379782704713768,0.00711805350510393,adhoc5
1,30,F,-0.312196988014014,-0.00519476358389216,adhoc5
1,31,C,-0.518792060445883,-0.00618902199316679,adhoc5
1,32,Tawn180,-0.700334763731312,-0.573546991545812,adhoc5
1,33,SC,-0.533299346932436,0.00382385443962464,adhoc5
1,34,F,0.0265581753311779,-0.00357687904279095,adhoc5
1,35,C,-0.54773746640344,-0.00131542300135074,adhoc5
1,36,Tawn2,-0.539726271081441,-0.508364316400833,adhoc5
1,39,F,0.245069220548379,0.00702830027500052,adhoc5
1,40,F,-0.271635279606921,-0.000611867544137083,adhoc5
1,41,F,-0.514660784063986,-0.00328676779414329,adhoc5
1,42,F,-0.505486207896146,0.0149519097877522,adhoc5
1,43,N,0.135713052543898,-0.011668925324921,adhoc5
1,47,N,-0.563815615472742,-0.00250363131898585,adhoc5
1,48,F,-0.336645131241649,0.000550491584032532,adhoc5
1,49,F,-0.039568860648626,0.00276577991216188,adhoc5
1,50,Tawn2,-0.109670069506071,-0.460633011917978,adhoc5
1,51,F,-0.523929866593989,0.00699835295546926,adhoc5
